attrib1,attrib2,attrib3,attrib4,attrib5,attrib6,attrib7,attrib8,actual_class,subset,predicted_class,trust_score,dist_to_non_pred,dist_to_pred,our_score,model_confidence,mean_distance,rowID
0.34501398441856146,1.033581839074827,0.47395893688463225,-0.09500708161090078,-1.1352815823832378,-0.12312483491177022,2.293267452262144,-1.0160188885087356,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,0
0.5678836637420394,0.486211164300262,1.9180183537844144,0.020549905379702978,-1.6464681281551365,0.528532217230704,-0.49846631605060754,0.23318362259853678,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,1
-1.761381992569473,0.4675839542418964,1.0837844820863332,-1.400414695400138,-0.18306317774194214,-1.3997407543021854,-0.18252600373234942,-1.0355628227348297,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,2
-0.8786338092990004,0.7878629829817856,0.34084552125402984,-1.5940658874047655,-1.1459260769737658,-1.0685466807401396,-1.8418523251193648,-0.7775942595955703,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,3
-1.0884384983225557,0.7288108102522064,0.5256040680178976,-1.2584348913644496,-0.4529699610540804,-0.6432285374731426,-2.0460340318832793,-0.3662876029832265,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,4
-1.432574747658148,0.7191432429768571,0.5687402879248864,-1.1292256560200213,0.4606871565962478,-0.5776118778475726,0.3356190102266663,-0.6924457434630408,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,5
0.6393037496616945,1.3241782513205023,0.2950658211987125,-0.8162744253923224,-1.6259681206144945,-0.0705382984770205,-0.7468262852340706,-0.01077807023027421,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,6
-2.305157350015122,0.09137931533368843,0.6670098467198793,-0.4206632064398364,-0.5934536220151111,-1.7595309846223768,2.275483318753346,0.8600698317392852,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,7
-1.0866752828017643,1.179117759833378,1.008734227370872,-0.6595201291760809,-1.4689672013678554,-1.572844004814204,-0.5444139590724084,-0.07719211950592245,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,8
-0.6601583490489095,0.8094557436320537,0.6104438925316479,-0.6992621099676474,-0.7162295691903886,-0.626983886246427,0.6345233929756602,0.16009989809581102,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,9
-2.2866203833444017,-0.4253553755351855,0.9066024427195498,-1.8921724484831548,-0.012045748248486064,-1.749525178080849,-0.6918470604030902,0.7334670511071723,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,10
-2.3419660971869085,0.974187189088826,-0.005412839835127921,-1.765917010686851,-0.07602904367150416,-0.8173265958851296,-1.0725649189328488,0.3138223643408481,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,11
-1.029974269611462,0.2565907975114369,0.7512342763866111,-1.2873973621664627,0.2801771703739637,-0.7694244683594875,1.03293507773518,0.46558399866659356,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,12
0.3307265718212527,1.072048985423275,0.11890890950730615,-0.43173722319518065,-1.3050322357805573,0.021315276923335652,2.403126969321241,1.8262556537760173,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,13
-1.9795965143346161,-0.8895916523073282,1.3060320101444034,-2.2135391693453386,0.3681261462964794,-1.757887000308879,-0.038198406339443824,-0.009415940239137534,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,14
-1.2967254676218516,0.5846568882882849,0.7735869046198889,-0.5985297988930482,-1.1542115573727565,-1.753708345137013,-0.2883351170618112,0.7985675506089068,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,15
-0.9529568975136795,1.2512653789865407,-0.17913383934598723,-0.9618936979691505,-0.7153110312325692,-0.21000142023719331,0.5955576341747851,1.237042388012787,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,16
-1.770400894121184,0.9414851771397432,1.7380750750430638,-1.341607171219498,0.5817225169288532,0.5980605493079052,-0.7232033561292556,-1.1104462310350807,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,17
-2.1366108162439206,0.025713935244917874,1.108433844695518,-1.768431827129185,-0.19708544109465073,-1.238416568287284,-0.020695046799390354,-0.8461900949470027,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,18
0.058681116007441754,-0.33891015786623674,1.433637580500114,-0.7211781687768601,-1.3930685832482994,-1.4145734747961456,1.0756466264323208,0.3696049137030536,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,19
